#Top: Adder   Floorplan: elab_constrs_1   Part: xc7a100tcsg324-1
#Generated by: Mo'men   on: Wed Aug 10 23:11:55 2016
#Build: PlanAhead v14.7   by: xbuild   on: Fri Sep 27 19:29:51 MDT 2013

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 19 unassigned signals in this design. The last 19 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type,IN_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
,N10,,GND,,,,,,,,,,,,,,,,GND,GND
,N8,,GND,,,,,,,,,,,,,,,,GND,GND
,P1,,GND,,,,,,,,,,,,,,,,GND,GND
,R14,,GND,,,,,,,,,,,,,,,,GND,GND
,R4,,GND,,,,,,,,,,,,,,,,GND,GND
,T17,,GND,,,,,,,,,,,,,,,,GND,GND
,T7,,GND,,,,,,,,,,,,,,,,GND,GND
,U10,,GND,,,,,,,,,,,,,,,,GND,GND
,V13,,GND,,,,,,,,,,,,,,,,GND,GND
,V3,,GND,,,,,,,,,,,,,,,,GND,GND
,F8,,VCCINT,,,,,,,,,,,,,,,,,
,G9,,VCCINT,,,,,,,,,,,,,,,,,
,G7,,VCCINT,,,,,,,,,,,,,,,,,
,H8,,VCCINT,,,,,,,,,,,,,,,,,
,J11,,VCCINT,,,,,,,,,,,,,,,,,
,J7,,VCCINT,,,,,,,,,,,,,,,,,
,K8,,VCCINT,,,,,,,,,,,,,,,,,
,L11,,VCCINT,,,,,,,,,,,,,,,,,
,L7,,VCCINT,,,,,,,,,,,,,,,,,
,M10,,VCCINT,,,,,,,,,,,,,,,,,
,M8,,VCCINT,,,,,,,,,,,,,,,,,
,N11,,VCCINT,,,,,,,,,,,,,,,,,
,N9,,VCCINT,,,,,,,,,,,,,,,,,
,N7,,VCCINT,,,,,,,,,,,,,,,,,
,F12,,VCCAUX,,,,,,,,,,,,,,,,VCCAUX,1.80
,H12,,VCCAUX,,,,,,,,,,,,,,,,VCCAUX,1.80
,K12,,VCCAUX,,,,,,,,,,,,,,,,VCCAUX,1.80
,M12,,VCCAUX,,,,,,,,,,,,,,,,VCCAUX,1.80
,F10,,VCCBRAM,,,,,,,,,,,,,,,,,
,G11,,VCCBRAM,,,,,,,,,,,,,,,,,
,,,,,,,,,a[4],IN,,,LVCMOS18,12,SLOW,,,,,
,,,,,,,,,a[3],IN,,,LVCMOS18,12,SLOW,,,,,
,,,,,,,,,a[2],IN,,,LVCMOS18,12,SLOW,,,,,
,,,,,,,,,a[1],IN,,,LVCMOS18,12,SLOW,,,,,
,,,,,,,,,a[0],IN,,,LVCMOS18,12,SLOW,,,,,
,,,,,,,,,b[4],IN,,,LVCMOS15,12,SLOW,,,,,
,,,,,,,,,b[3],IN,,,LVCMOS15,12,SLOW,,,,,
,,,,,,,,,b[2],IN,,,LVCMOS15,12,SLOW,,,,,
,,,,,,,,,b[1],IN,,,LVCMOS15,12,SLOW,,,,,
,,,,,,,,,b[0],IN,,,LVCMOS15,12,SLOW,,,,,
,,,,,,,,,output[5],OUT,,,LVCMOS12,12,SLOW,,,FP_VTT_50,,
,,,,,,,,,output[4],OUT,,,LVCMOS12,12,SLOW,,,FP_VTT_50,,
,,,,,,,,,output[3],OUT,,,LVCMOS12,12,SLOW,,,FP_VTT_50,,
,,,,,,,,,output[2],OUT,,,LVCMOS12,12,SLOW,,,FP_VTT_50,,
,,,,,,,,,output[1],OUT,,,LVCMOS12,12,SLOW,,,FP_VTT_50,,
,,,,,,,,,output[0],OUT,,,LVCMOS12,12,SLOW,,,FP_VTT_50,,
,,,,,,,,,clk,IN,,,HSTL_I,,SLOW,,,,,
,,,,,,,,,clk_en,IN,,,HSTL_II,,SLOW,,,,,
,,,,,,,,,rst,IN,,,HSUL_12,,SLOW,,,,,
